claim_id,SSN,claim_age,patient_name,patient_id,provider_id,provider_name,claim_amount,approved_amount,claim_status,submission_date,adjudication_date,payment_date,denial_reason
CLM500025,419-60-3382,29,Mary Miller,P00026,PR009,Vision Service Plan,12989,9818,Approved,11-07-2024,29-07-2024,08-08-2024,
CLM500026,820-65-4372,60,Rosie Garcia,P00027,PR006,Blue Cross Blue Shield,43546,31182,Approved,11-02-2024,15-02-2024,03-03-2024,
CLM500027,965-29-9307,43,Susan Rodriguez,P00028,PR004,Cigna,40688,36646,Approved,21-03-2024,06-04-2024,27-04-2024,
CLM500028,571-88-5597,40,Jennifer Wilson,P00029,PR011,Spectera,26707,18284,Approved,20-04-2024,25-04-2024,13-05-2024,
CLM500029,993-57-1311,27,Matthew Ramore,P00030,PR009,Vision Service Plan,39512,34089,Approved,18-08-2024,29-08-2024,05-09-2024,
CLM500030,251-22-6062,42,Rosie Moore,P00031,PR008,Kaiser Permanente,25785,0,Denied,26-03-2024,03-04-2024,,Pre-Authorization Required
CLM500031,642-16-6056,42,Sarah Wilson,P00032,PR007,Humana,27909,0,Denied,25-04-2024,13-05-2024,,Invalid CPT Code
CLM500032,774-84-2196,28,Paul Smith,P00033,PR007,Humana,56072,0,Denied,18-03-2024,23-03-2024,,Invalid CPT Code
CLM500033,721-78-9050,78,Barbara Taylor,P00034,PR011,Spectera,53936,37941,Approved,19-03-2024,03-04-2024,19-04-2024,
CLM500034,742-11-2163,26,Charles Ramore,P00035,PR003,Aetna,35038,32932,Approved,03-07-2024,15-07-2024,02-08-2024,
CLM500035,138-84-9111,53,Michael Garcia,P00036,PR011,Spectera,53226,37543,Approved,23-02-2024,05-03-2024,23-03-2024,
CLM500036,518-35-4170,85,Jessica Rodriguez,P00037,PR007,Humana,6632,4819,Approved,14-09-2024,19-09-2024,19-10-2024,
CLM500037,645-91-3852,20,Patricia Martin,P00038,PR012,EyeMed,25649,18126,Approved,14-08-2024,18-08-2024,02-09-2024,
CLM500038,322-97-9736,32,Olivia Johnson,P00039,PR005,UnitedHealthcare,27068,21990,Approved,06-07-2024,10-07-2024,28-07-2024,
CLM500039,371-87-1409,66,David Martin,P00040,PR011,Spectera,50553,49328,Approved,01-10-2024,21-10-2024,10-11-2024,
CLM500040,627-81-5685,75,Richard Davis,P00041,PR012,EyeMed,51773,0,Denied,12-02-2024,23-02-2024,,Pre-Authorization Required
CLM500041,282-55-9844,64,Jennifer Martin,P00042,PR010,Davis Vision,10088,0,Denied,24-10-2024,28-10-2024,,Incorrect Member ID
CLM500042,859-23-4484,86,Olivia Miller,P00043,PR009,Vision Service Plan,25772,0,Denied,03-03-2024,12-03-2024,,Policy Lapsed
CLM500043,728-92-8611,81,Joseph Wilson,P00044,PR013,Superior Vision,14001,10340,Approved,08-08-2024,24-08-2024,07-09-2024,
CLM500044,371-15-9811,76,Barbara Thomas,P00045,PR004,Cigna,3829,0,Denied,27-10-2024,14-11-2024,,Pre-Authorization Required
CLM500045,854-27-4587,38,Matthew Martinez,P00046,PR007,Humana,10825,7050,Approved,24-10-2024,06-11-2024,01-12-2024,
CLM500046,301-72-4723,88,Anthony Anderson,P00047,PR013,Superior Vision,51643,34561,Approved,08-07-2024,16-07-2024,07-08-2024,
CLM500047,462-59-8339,27,Mary Anderson,P00048,PR014,Anthem,18308,0,Denied,08-05-2024,26-05-2024,,Pre-Authorization Required
CLM500048,303-86-6459,27,Matthew Brown,P00049,PR012,EyeMed,21683,15079,Approved,15-05-2024,22-05-2024,19-06-2024,
CLM500049,761-37-9420,44,Karen Martinez,P00050,PR003,Aetna,34108,0,Denied,21-04-2024,26-04-2024,,Timely Filing Limit Exceeded
CLM500050,764-76-7032,19,Olivia Hernandez,P00051,PR004,Cigna,56732,38022,Approved,30-07-2024,04-08-2024,14-08-2024,
CLM500051,770-75-1346,47,Daniel Martin,P00052,PR010,Davis Vision,47664,39333,Approved,07-10-2024,22-10-2024,11-11-2024,
CLM500052,750-56-3336,62,Emily Smith,P00053,PR007,Humana,50978,44696,Approved,20-09-2024,01-10-2024,22-10-2024,
CLM500053,120-92-8453,46,Matthew Davis,P00054,PR013,Superior Vision,39956,0,Denied,25-06-2024,14-07-2024,,Missing Documentation
CLM500054,113-44-6356,60,William Garcia,P00055,PR005,UnitedHealthcare,15616,0,Denied,05-04-2024,15-04-2024,,Timely Filing Limit Exceeded
CLM500055,739-30-3508,46,William Smith,P00056,PR009,Vision Service Plan,8824,7722,Approved,26-07-2024,02-08-2024,12-08-2024,
CLM500056,651-12-2392,49,Richard Miller,P00057,PR004,Cigna,40781,30001,Approved,09-08-2024,29-08-2024,27-09-2024,
CLM500057,509-48-6212,63,Olivia Smith,P00058,PR015,Molina Healthcare,52933,45097,Approved,24-01-2024,09-02-2024,05-03-2024,
CLM500058,138-91-2307,50,Barbara Garcia,P00059,PR013,Superior Vision,32417,27091,Approved,24-03-2024,06-04-2024,23-04-2024,
CLM500059,771-43-7378,55,Patricia Thomas,P00060,PR001,Medicare,9065,6179,Approved,15-06-2024,23-06-2024,23-07-2024,
CLM500060,415-59-2836,52,William Martinez,P00061,PR011,Spectera,45879,33540,Approved,10-07-2024,27-07-2024,19-08-2024,
CLM500061,742-70-4571,89,Sophia Brown,P00062,PR015,Molina Healthcare,25343,16887,Approved,04-06-2024,18-06-2024,08-07-2024,
CLM500062,535-74-4280,38,David Smith,P00063,PR001,Medicare,15764,15038,Approved,21-06-2024,25-06-2024,23-07-2024,
CLM500063,970-93-8376,49,Daniel Davis,P00064,PR012,EyeMed,24742,19332,Approved,23-05-2024,01-06-2024,30-06-2024,
CLM500064,771-43-7378,36,Patricia Thomas,P00060,PR006,Blue Cross Blue Shield,25610,0,Denied,27-05-2024,02-06-2024,,Duplicate Claim
CLM500065,351-48-6368,89,Paul Johnson,P00065,PR007,Humana,55312,0,Denied,21-07-2024,25-07-2024,,Duplicate Claim
CLM500066,379-44-4471,47,Emily Jackson,P00066,PR013,Superior Vision,9444,0,Denied,12-07-2024,22-07-2024,,Invalid CPT Code
CLM500067,818-95-9419,45,Barbara Ramore,P00067,PR003,Aetna,44428,0,Denied,30-05-2024,07-06-2024,,Incorrect Member ID
CLM500068,149-27-1065,29,Susan Gonzalez,P00068,PR003,Aetna,31276,25511,Approved,08-02-2024,22-02-2024,03-03-2024,
CLM500069,696-47-8306,55,David Taylor,P00069,PR007,Humana,51759,46841,Approved,29-02-2024,12-03-2024,30-03-2024,
CLM500070,954-42-8590,58,James Wilson,P00070,PR015,Molina Healthcare,47495,36676,Approved,28-09-2024,13-10-2024,09-11-2024,
CLM500071,460-36-3637,29,Andrew Ramore,P00071,PR005,UnitedHealthcare,53561,0,Denied,23-06-2024,28-06-2024,,Coverage Not Eligible
CLM500072,809-37-9267,21,David Lopez,P00072,PR001,Medicare,54134,41342,Approved,10-10-2024,21-10-2024,01-11-2024,
CLM500073,736-31-4253,30,Mark Hernandez,P00073,PR003,Aetna,49468,36530,Approved,20-04-2024,06-05-2024,25-05-2024,
CLM500074,854-27-4587,23,Matthew Martinez,P00046,PR004,Cigna,21103,15963,Approved,09-08-2024,19-08-2024,28-08-2024,
CLM500075,571-98-4004,41,Karen Anderson,P00074,PR012,EyeMed,41859,27943,Approved,13-07-2024,01-08-2024,10-08-2024,
CLM500076,519-47-6983,80,Paul Moore,P00006,PR015,Molina Healthcare,12437,0,Denied,05-01-2024,09-01-2024,,Missing Documentation
CLM500077,244-91-1031,26,Charles Taylor,P00075,PR014,Anthem,30380,24079,Approved,22-07-2024,09-08-2024,31-08-2024,
CLM500078,290-82-5887,46,Isabella Rodriguez,P00076,PR005,UnitedHealthcare,6009,0,Denied,22-03-2024,08-04-2024,,Duplicate Claim
CLM500079,671-43-6774,68,Emily Hernandez,P00077,PR009,Vision Service Plan,50304,42086,Approved,27-01-2024,02-02-2024,29-02-2024,
CLM500080,627-81-5685,76,Richard Davis,P00041,PR006,Blue Cross Blue Shield,32475,30620,Approved,09-10-2024,28-10-2024,12-11-2024,
CLM500081,802-83-6167,58,Daniel Miller,P00078,PR010,Davis Vision,40144,0,Denied,27-04-2024,09-05-2024,,Incorrect Member ID
CLM500082,653-77-3709,30,Richard Garcia,P00079,PR012,EyeMed,13659,12465,Approved,04-08-2024,16-08-2024,30-08-2024,
CLM500083,965-29-9307,29,Susan Rodriguez,P00028,PR014,Anthem,41148,35801,Approved,29-02-2024,13-03-2024,07-04-2024,
CLM500084,308-78-3789,19,Rosie Williams,P00080,PR009,Vision Service Plan,51933,51390,Approved,01-05-2024,18-05-2024,16-06-2024,
CLM500085,367-89-3951,73,Linda Gonzalez,P00081,PR004,Cigna,2500,2472,Approved,01-08-2024,11-08-2024,08-09-2024,
CLM500086,838-90-7508,80,Olivia Rodriguez,P00082,PR005,UnitedHealthcare,39944,29192,Approved,04-07-2024,16-07-2024,03-08-2024,
CLM500087,642-64-9414,25,Rosie Hernandez,P00083,PR005,UnitedHealthcare,46002,44323,Approved,05-04-2024,12-04-2024,29-04-2024,
CLM500088,972-84-7899,39,Emily Davis,P00015,PR013,Superior Vision,39592,33980,Approved,13-02-2024,18-02-2024,26-02-2024,
CLM500089,946-82-3985,39,Mark Thomas,P00084,PR007,Humana,26202,0,Denied,22-01-2024,31-01-2024,,Timely Filing Limit Exceeded
CLM500090,113-44-6356,66,William Garcia,P00055,PR011,Spectera,42517,33644,Approved,15-07-2024,29-07-2024,08-08-2024,
CLM500091,859-23-4484,83,Olivia Miller,P00043,PR014,Anthem,13270,13178,Approved,21-01-2024,28-01-2024,16-02-2024,
CLM500092,993-57-1311,61,Matthew Ramore,P00030,PR009,Vision Service Plan,27799,0,Denied,19-05-2024,25-05-2024,,Timely Filing Limit Exceeded
CLM500093,155-77-5102,36,Matthew Gonzalez,P00085,PR006,Blue Cross Blue Shield,35343,26920,Approved,21-02-2024,10-03-2024,29-03-2024,
CLM500094,562-71-5634,25,Linda Ramore,P00086,PR007,Humana,17442,11667,Approved,21-10-2024,02-11-2024,16-11-2024,
CLM500095,378-83-7990,47,Barbara Rodriguez,P00087,PR013,Superior Vision,49805,0,Denied,24-06-2024,04-07-2024,,Incorrect Member ID
CLM500096,961-46-5638,75,Mary Lopez,P00088,PR001,Medicare,42827,31945,Approved,01-03-2024,20-03-2024,16-04-2024,
CLM500097,909-64-6398,67,Barbara Hernandez,P00089,PR004,Cigna,35970,33231,Approved,12-03-2024,21-03-2024,14-04-2024,
CLM500098,227-12-8424,43,Isabella Williams,P00004,PR006,Blue Cross Blue Shield,42705,35959,Approved,19-09-2024,05-10-2024,27-10-2024,
CLM500099,870-28-2423,69,John Taylor,P00090,PR012,EyeMed,33823,31414,Approved,26-04-2024,08-05-2024,21-05-2024,
CLM500100,764-35-1841,60,James Garcia,P00091,PR010,Davis Vision,27537,24988,Approved,17-10-2024,24-10-2024,12-11-2024,
CLM500101,945-84-5412,22,Charles Williams,P00092,PR012,EyeMed,51058,0,Denied,05-09-2024,21-09-2024,,Invalid CPT Code
CLM500102,163-57-8827,52,Linda Lopez,P00093,PR001,Medicare,2780,1931,Approved,05-09-2024,21-09-2024,08-10-2024,
CLM500103,827-20-5420,24,Rosie Anderson,P00094,PR005,UnitedHealthcare,50261,35908,Approved,22-01-2024,30-01-2024,25-02-2024,
CLM500104,682-14-5321,83,Paul Garcia,P00095,PR014,Anthem,12092,10072,Approved,13-01-2024,19-01-2024,03-02-2024,
CLM500105,562-71-5634,29,Linda Ramore,P00086,PR013,Superior Vision,35857,29260,Approved,08-05-2024,14-05-2024,05-06-2024,
CLM500106,671-43-6774,49,Emily Hernandez,P00077,PR009,Vision Service Plan,45104,29326,Approved,01-09-2024,17-09-2024,12-10-2024,
CLM500107,535-74-4280,85,David Smith,P00063,PR001,Medicare,32958,0,Denied,14-03-2024,23-03-2024,,Missing Documentation
CLM500108,242-92-4664,79,Thomas Johnson,P00096,PR015,Molina Healthcare,43349,31235,Approved,06-07-2024,25-07-2024,11-08-2024,
CLM500109,233-92-6699,54,Michael Jones,P00097,PR007,Humana,45496,0,Denied,03-07-2024,19-07-2024,,Policy Lapsed
CLM500110,989-86-4006,61,Patricia Miller,P00098,PR014,Anthem,37538,34708,Approved,05-05-2024,25-05-2024,09-06-2024,
CLM500111,691-62-4611,58,Emily Moore,P00099,PR006,Blue Cross Blue Shield,11661,10611,Approved,25-01-2024,30-01-2024,20-02-2024,
CLM500112,102-72-2148,72,David Thomas,P00007,PR008,Kaiser Permanente,56992,53630,Approved,22-09-2024,09-10-2024,29-10-2024,
CLM500113,333-28-9688,84,Olivia Ramore,P00100,PR009,Vision Service Plan,4278,2959,Approved,12-10-2024,01-11-2024,21-11-2024,
CLM500114,536-25-5659,20,Mary Rodriguez,P00101,PR005,UnitedHealthcare,17691,16593,Approved,05-04-2024,11-04-2024,28-04-2024,
CLM500115,462-59-8339,62,Mary Anderson,P00048,PR008,Kaiser Permanente,13010,0,Denied,02-07-2024,21-07-2024,,Incorrect Member ID
CLM500116,770-20-1613,83,Joseph Ramore,P00024,PR003,Aetna,41034,0,Denied,10-02-2024,26-02-2024,,Timely Filing Limit Exceeded
CLM500117,461-29-8300,90,David Williams,P00102,PR014,Anthem,20639,20599,Approved,30-08-2024,15-09-2024,02-10-2024,
CLM500118,487-49-4673,84,Robert Miller,P00103,PR001,Medicare,53288,40219,Approved,01-10-2024,15-10-2024,10-11-2024,
CLM500119,750-56-3336,40,Emily Smith,P00053,PR011,Spectera,51135,38658,Approved,28-02-2024,08-03-2024,05-04-2024,
CLM500120,227-12-8424,21,Isabella Williams,P00004,PR004,Cigna,17073,16622,Approved,06-02-2024,22-02-2024,05-03-2024,
CLM500121,179-66-1274,90,Karen Miller,P00104,PR002,Medicaid,52821,0,Denied,27-07-2024,01-08-2024,,Timely Filing Limit Exceeded
CLM500122,802-65-4242,35,William Thomas,P00105,PR013,Superior Vision,44125,0,Denied,16-10-2024,31-10-2024,,Coverage Not Eligible
CLM500123,417-89-9425,30,William Miller,P00106,PR005,UnitedHealthcare,13102,11818,Approved,04-02-2024,16-02-2024,11-03-2024,
CLM500124,531-49-1670,73,Jessica Anderson,P00107,PR004,Cigna,4858,4685,Approved,23-08-2024,29-08-2024,14-09-2024,
CLM500125,691-62-4611,62,Emily Moore,P00099,PR007,Humana,48194,46675,Approved,19-01-2024,01-02-2024,15-02-2024,
CLM500126,378-83-7990,72,Barbara Rodriguez,P00087,PR015,Molina Healthcare,7781,0,Denied,05-01-2024,13-01-2024,,Pre-Authorization Required
CLM500127,542-12-3334,57,Mary Moore,P00108,PR006,Blue Cross Blue Shield,9646,6617,Approved,28-06-2024,03-07-2024,16-07-2024,
CLM500128,113-44-6356,34,William Garcia,P00055,PR008,Kaiser Permanente,43422,35005,Approved,02-03-2024,14-03-2024,04-04-2024,
CLM500129,263-28-1595,64,Sarah Jackson,P00109,PR002,Medicaid,29978,27772,Approved,21-05-2024,27-05-2024,09-06-2024,
CLM500130,711-74-8856,59,Patricia Davis,P00110,PR003,Aetna,33226,31421,Approved,02-04-2024,19-04-2024,30-04-2024,
CLM500131,525-12-5532,88,Linda Martin,P00111,PR005,UnitedHealthcare,14263,11190,Approved,12-08-2024,21-08-2024,17-09-2024,
CLM500132,120-92-8453,29,Matthew Davis,P00054,PR013,Superior Vision,30650,27662,Approved,04-03-2024,17-03-2024,12-04-2024,
CLM500133,308-34-2629,26,John Rodriguez,P00112,PR004,Cigna,1737,1505,Approved,22-01-2024,09-02-2024,19-02-2024,
CLM500134,505-73-4598,85,Jessica Hernandez,P00017,PR009,Vision Service Plan,41624,41536,Approved,20-04-2024,03-05-2024,29-05-2024,
CLM500135,103-55-8468,34,Matthew Anderson,P00113,PR007,Humana,3346,0,Denied,20-09-2024,10-10-2024,,Invalid CPT Code
CLM500136,925-35-8252,35,Mark Anderson,P00114,PR005,UnitedHealthcare,14880,0,Denied,06-05-2024,14-05-2024,,Duplicate Claim
CLM500137,415-59-2836,65,William Martinez,P00061,PR013,Superior Vision,49165,38653,Approved,16-09-2024,05-10-2024,12-10-2024,
CLM500138,225-41-7730,90,Daniel Moore,P00115,PR014,Anthem,6964,5401,Approved,02-07-2024,20-07-2024,03-08-2024,
CLM500139,697-85-9046,40,Andrew Taylor,P00116,PR002,Medicaid,25719,17113,Approved,05-01-2024,25-01-2024,05-02-2024,
CLM500140,764-35-1841,55,James Garcia,P00091,PR012,EyeMed,19175,16499,Approved,15-03-2024,26-03-2024,19-04-2024,
CLM500141,783-59-9562,18,Thomas Hernandez,P00117,PR006,Blue Cross Blue Shield,3294,2934,Approved,31-07-2024,18-08-2024,05-09-2024,
CLM500142,639-47-2799,59,John Martin,P00118,PR006,Blue Cross Blue Shield,3806,0,Denied,27-08-2024,09-09-2024,,Timely Filing Limit Exceeded
CLM500143,181-18-4889,21,Jennifer Davis,P00119,PR001,Medicare,9813,0,Denied,17-01-2024,05-02-2024,,Missing Documentation
CLM500144,770-85-5993,69,Sophia Anderson,P00120,PR013,Superior Vision,28785,23057,Approved,21-03-2024,29-03-2024,24-04-2024,
CLM500145,304-78-2487,49,John Jackson,P00121,PR008,Kaiser Permanente,24673,22205,Approved,18-01-2024,24-01-2024,13-02-2024,
CLM500146,501-12-5001,59,Joseph Gonzalez,P00122,PR009,Vision Service Plan,46088,42718,Approved,07-03-2024,15-03-2024,08-04-2024,
CLM500147,544-89-4813,19,Robert Anderson,P00123,PR009,Vision Service Plan,11383,0,Denied,28-02-2024,18-03-2024,,Missing Documentation
CLM500148,827-20-5420,29,Rosie Anderson,P00094,PR002,Medicaid,40848,40318,Approved,01-01-2024,13-01-2024,25-01-2024,
CLM500149,330-87-3430,30,Daniel Brown,P00124,PR012,EyeMed,35665,0,Denied,26-09-2024,15-10-2024,,Policy Lapsed
CLM500150,169-10-8153,54,Joseph Davis,P00125,PR008,Kaiser Permanente,47925,38846,Approved,20-04-2024,05-05-2024,02-06-2024,
CLM500151,375-87-8753,61,Anthony Hernandez,P00126,PR011,Spectera,54819,45096,Approved,22-01-2024,30-01-2024,12-02-2024,
CLM500152,650-20-6490,57,Sarah Hernandez,P00127,PR003,Aetna,28016,25995,Approved,02-03-2024,08-03-2024,01-04-2024,
CLM500153,889-40-5760,81,Andrew Gonzalez,P00128,PR008,Kaiser Permanente,26002,25327,Approved,11-01-2024,20-01-2024,29-01-2024,
CLM500154,123-59-4052,28,David Gonzalez,P00129,PR011,Spectera,32363,25883,Approved,20-10-2024,06-11-2024,18-11-2024,
CLM500155,907-25-5199,85,Elizabeth Johnson,P00130,PR005,UnitedHealthcare,7399,0,Denied,23-04-2024,08-05-2024,,Incorrect Member ID
CLM500156,642-64-9414,31,Rosie Hernandez,P00083,PR004,Cigna,56063,0,Denied,28-01-2024,01-02-2024,,Duplicate Claim
CLM500157,731-55-2154,32,Richard Anderson,P00131,PR005,UnitedHealthcare,59705,53463,Approved,01-07-2024,07-07-2024,19-07-2024,
CLM500158,669-18-5668,70,Elizabeth Garcia,P00132,PR003,Aetna,26058,18197,Approved,31-01-2024,18-02-2024,26-02-2024,
CLM500159,202-46-2210,25,William Moore,P00133,PR008,Kaiser Permanente,16322,13323,Approved,21-03-2024,31-03-2024,19-04-2024,
CLM500160,873-34-6366,86,Karen Jackson,P00134,PR013,Superior Vision,26333,0,Denied,13-01-2024,18-01-2024,,Policy Lapsed
CLM500161,999-11-1852,73,Robert Taylor,P00135,PR005,UnitedHealthcare,31829,30462,Approved,05-08-2024,13-08-2024,20-08-2024,
CLM500162,669-18-5668,85,Elizabeth Garcia,P00132,PR008,Kaiser Permanente,51589,49043,Approved,02-07-2024,22-07-2024,12-08-2024,
CLM500163,227-28-8657,71,Mary Ramore,P00136,PR011,Spectera,8723,0,Denied,23-04-2024,05-05-2024,,Missing Documentation
CLM500164,457-27-1990,89,Robert Martin,P00137,PR014,Anthem,47609,44626,Approved,13-02-2024,19-02-2024,01-03-2024,
CLM500165,903-31-3964,59,William Lopez,P00138,PR002,Medicaid,39529,27907,Approved,23-10-2024,07-11-2024,15-11-2024,
CLM500166,256-12-2934,65,Anthony Martin,P00139,PR010,Davis Vision,41128,35772,Approved,05-08-2024,23-08-2024,15-09-2024,
CLM500167,290-82-5887,20,Isabella Rodriguez,P00076,PR004,Cigna,19011,17277,Approved,21-04-2024,28-04-2024,10-05-2024,
CLM500168,523-34-8279,40,David Hernandez,P00140,PR006,Blue Cross Blue Shield,45722,36036,Approved,14-05-2024,30-05-2024,17-06-2024,
CLM500169,515-89-3216,63,William Jackson,P00141,PR010,Davis Vision,7727,6310,Approved,24-10-2024,10-11-2024,06-12-2024,
CLM500170,232-38-9819,42,Elizabeth Hernandez,P00142,PR002,Medicaid,22172,20519,Approved,03-09-2024,14-09-2024,12-10-2024,
CLM500171,336-66-2214,27,Matthew Miller,P00143,PR001,Medicare,14817,0,Denied,23-03-2024,31-03-2024,,Timely Filing Limit Exceeded
CLM500172,531-59-5093,61,Emily Miller,P00144,PR007,Humana,3883,0,Denied,10-10-2024,17-10-2024,,Invalid CPT Code
CLM500173,776-62-5324,53,Isabella Hernandez,P00145,PR010,Davis Vision,41572,37677,Approved,17-03-2024,04-04-2024,14-04-2024,
CLM500174,690-76-6313,40,Andrew Brown,P00146,PR008,Kaiser Permanente,51362,45942,Approved,16-01-2024,26-01-2024,19-02-2024,
CLM500175,828-30-8885,76,Mark Rodriguez,P00147,PR014,Anthem,39310,38138,Approved,26-09-2024,10-10-2024,23-10-2024,
CLM500176,984-83-9813,19,Linda Taylor,P00148,PR004,Cigna,44714,0,Denied,13-05-2024,17-05-2024,,Policy Lapsed
CLM500177,371-15-9811,25,Barbara Thomas,P00045,PR010,Davis Vision,12479,0,Denied,20-08-2024,24-08-2024,,Missing Documentation
CLM500178,451-61-5346,24,Linda Garcia,P00149,PR012,EyeMed,22409,18870,Approved,09-03-2024,18-03-2024,27-03-2024,
CLM500179,857-76-8329,69,Isabella Anderson,P00150,PR013,Superior Vision,39928,26597,Approved,27-03-2024,31-03-2024,15-04-2024,
CLM500180,298-86-6968,81,Joseph Hernandez,P00151,PR015,Molina Healthcare,20390,18886,Approved,11-07-2024,19-07-2024,17-08-2024,
CLM500181,945-84-5412,86,Charles Williams,P00092,PR011,Spectera,35303,0,Denied,23-09-2024,02-10-2024,,Timely Filing Limit Exceeded
CLM500182,684-34-6108,30,William Hernandez,P00152,PR014,Anthem,30702,27283,Approved,01-02-2024,15-02-2024,02-03-2024,
CLM500183,700-58-5434,36,Linda Thomas,P00153,PR005,UnitedHealthcare,37282,34132,Approved,29-02-2024,09-03-2024,02-04-2024,
CLM500184,307-49-4033,20,Jessica Jones,P00154,PR002,Medicaid,32151,24117,Approved,22-04-2024,28-04-2024,19-05-2024,
CLM500185,299-77-5352,46,Rosie Taylor,P00155,PR015,Molina Healthcare,51623,35339,Approved,16-09-2024,01-10-2024,13-10-2024,
CLM500186,748-61-7724,34,Isabella Martinez,P00156,PR004,Cigna,12778,8840,Approved,24-04-2024,04-05-2024,03-06-2024,
CLM500187,534-33-7025,84,Linda Jackson,P00157,PR002,Medicaid,25117,21409,Approved,30-03-2024,17-04-2024,02-05-2024,
CLM500188,502-94-6265,25,James Martinez,P00158,PR012,EyeMed,2973,2079,Approved,22-08-2024,08-09-2024,22-09-2024,
CLM500189,561-44-6996,47,William Ramore,P00159,PR006,Blue Cross Blue Shield,23046,18785,Approved,18-07-2024,24-07-2024,12-08-2024,
CLM500190,512-97-4278,83,Emily Brown,P00160,PR014,Anthem,31223,31217,Approved,04-01-2024,16-01-2024,10-02-2024,
CLM500191,177-92-5887,29,Sarah Taylor,P00161,PR006,Blue Cross Blue Shield,24646,21125,Approved,10-06-2024,14-06-2024,22-06-2024,
CLM500192,308-34-2629,53,John Rodriguez,P00112,PR002,Medicaid,6159,4443,Approved,14-09-2024,19-09-2024,13-10-2024,
CLM500193,649-86-4957,47,Emily Johnson,P00162,PR007,Humana,57119,0,Denied,19-05-2024,24-05-2024,,Policy Lapsed
CLM500194,424-38-3105,53,Richard Thomas,P00163,PR015,Molina Healthcare,25475,0,Denied,27-09-2024,12-10-2024,,Missing Documentation
